player_name,war,playerID
Babe Ruth,182.6,ruthba01
Walter Johnson,166.9,johnswa01
Cy Young,163.6,youngcy01
Barry Bonds,162.8,bondsba01
Willie Mays,156.2,mayswi01
Ty Cobb,151.5,cobbty01
Henry Aaron,143.1,aaronha01
Roger Clemens,139.2,clemero02
Tris Speaker,134.9,speaktr01
Honus Wagner,131.0,wagneho01
Stan Musial,128.5,musiast01
Rogers Hornsby,127.0,hornsro01
Eddie Collins,124.3,collied02
Ted Williams,121.8,willite01
Grover Alexander,119.6,alexape01
Alex Rodriguez,117.6,rodrial01
Kid Nichols,116.3,nichoki01
Lou Gehrig,113.7,gehrilo01
Rickey Henderson,111.1,henderi01
Mel Ott,110.9,ottme01
Mickey Mantle,110.2,mantlmi01
Tom Seaver,109.9,seaveto01
Frank Robinson,107.2,robinfr02
Nap Lajoie,106.9,lajoina01
Mike Schmidt,106.9,schmimi01
Lefty Grove,106.8,grovele01
Christy Mathewson,106.7,mathech01
Greg Maddux,106.6,maddugr01
Albert Pujols,101.4,pujolal01
Randy Johnson,101.1,johnsra05
Joe Morgan,100.6,morgajo02
Warren Spahn,100.1,spahnwa01
Carl Yastrzemski,96.5,yastrca01
Eddie Mathews,95.9,matheed01
Phil Niekro,95.9,niekrph01
Cal Ripken,95.9,ripkeca99
Roberto Clemente,94.9,clemero01
Bert Blyleven,94.5,blylebe01
Cap Anson,94.3,ansonca01
Adrian Beltre,93.5,beltrad01
Jimmie Foxx,93.0,foxxji01
Al Kaline,92.8,kalinal01
Wade Boggs,91.4,boggswa01
Eddie Plank,90.9,planked01
Steve Carlton,90.2,carltst01
Gaylord Perry,90.0,perryga01
Bob Gibson,89.2,gibsobo02
George Brett,88.6,brettge01
Tim Keefe,86.9,keefeti01
Mike Trout,86.2,troutmi01
Robin Roberts,86.1,roberro01
Chipper Jones,85.3,jonesch06
Charlie Gehringer,84.7,gehrich01
George Davis,84.5,davisge02
Roger Connor,84.3,connoro01
Fergie Jenkins,84.2,jenkife01
Pedro Martinez,83.9,martipe03
Ken Griffey,83.8,griffke02
John Clarkson,83.2,clarkjo01
Mike Mussina,82.8,mussimi01
Nolan Ryan,81.3,ryanno01
Rod Carew,81.2,carewro01
Tom Glavine,80.7,glavito02
Justin Verlander,80.5,verlaju01
Jeff Bagwell,79.9,bagweje01
Pete Rose,79.5,rosepe02
Curt Schilling,79.5,schilcu01
Clayton Kershaw,79.4,kershcl01
Joe DiMaggio,79.1,dimagjo01
Dan Brouthers,78.7,broutda01
Brooks Robinson,78.5,robinbr01
Arky Vaughan,77.9,vaughar01
Zack Greinke,77.5,greinza01
Luke Appling,77.4,applilu01
Robin Yount,77.4,yountro01
Ozzie Smith,76.9,smithoz01
Bobby Wallace,76.4,wallabo01
Jim McCormick,76.2,mccorji02
Paul Molitor,75.6,molitpa01
Sam Crawford,75.4,crawfsa01
Old Hoss Radbourn,75.4,radboch01
Max Scherzer,75.4,scherma01
Bill Dahlen,75.3,dahlebi01
Johnny Bench,75.1,benchjo01
Lou Whitaker,75.1,whitalo01
Paul Waner,74.8,wanerpa01
Reggie Jackson,74.0,jacksre01
Frank Thomas,73.8,thomafr04
Pud Galvin,73.4,galvipu01
Jim Thome,73.1,thomeji01
Larry Walker,72.7,walkela01
Harry Heilmann,72.2,heilmha01
Rafael Palmeiro,71.9,palmera01
Frankie Frisch,71.8,friscfr01
Derek Jeter,71.3,jeterde01
Bobby Grich,71.1,grichbo01
Ted Lyons,70.6,lyonste01
Johnny Mize,70.6,mizejo01
Alan Trammell,70.6,trammal01
Barry Larkin,70.5,larkiba01
Ron Santo,70.5,santoro01
Gary Carter,70.2,cartega01
Carlos Beltran,70.1,beltrca01
Scott Rolen,70.1,rolensc01
Mookie Betts,69.6,bettsmo01
Ed Delahanty,69.6,delahed01
Rick Reuschel,69.5,reuscri01
Tim Raines,69.4,raineti02
Manny Ramirez,69.3,ramirma02
Tony Gwynn,69.2,gwynnto02
John Smoltz,69.0,smoltjo01
Eddie Murray,68.7,murraed02
Ivan Rodriguez,68.7,rodriiv01
Red Ruffing,68.6,ruffire01
Carlton Fisk,68.5,fiskca01
Carl Hubbell,68.5,hubbeca01
Jim Palmer,68.5,palmeji01
Kenny Lofton,68.4,loftoke01
Edgar Martinez,68.4,martied01
Pee Wee Reese,68.4,reesepe01
Al Simmons,68.3,simmoal01
Robinson Cano,68.1,canoro01
Fred Clarke,68.0,clarkfr01
Graig Nettles,67.9,nettlgr01
Ryne Sandberg,67.9,sandbry01
Kevin Brown,67.8,brownke04
Ernie Banks,67.7,bankser01
Dwight Evans,67.2,evansdw01
Miguel Cabrera,67.1,cabremi01
Don Drysdale,67.1,drysddo01
Roberto Alomar,67.0,alomaro01
Don Sutton,66.7,suttodo01
Tony Mullane,66.6,mullato01
Ed Walsh,66.5,walshed02
Buddy Bell,66.4,bellbu01
Luis Tiant,66.1,tiantlu01
Goose Goslin,66.0,gosligo01
Willie Randolph,65.9,randowi01
Duke Snider,65.9,snidedu01
Amos Rusie,65.8,rusieam01
Craig Biggio,65.5,biggicr01
Andre Dawson,64.9,dawsoan01
Joe Cronin,64.7,cronijo01
Reggie Smith,64.5,smithre06
Chase Utley,64.5,utleych01
Joey Votto,64.5,vottojo01
Willie McCovey,64.4,mccovwi01
Richie Ashburn,64.2,ashburi01
Roy Halladay,64.2,hallaro01
Dave Winfield,64.2,winfida01
Jackie Robinson,63.9,robinja02
Red Faber,63.8,faberre01
Clark Griffith,63.8,griffcl01
Billy Williams,63.6,willibi02
Bob Feller,63.4,fellebo01
Lou Boudreau,63.2,boudrlo01
Billy Hamilton,63.2,hamilbi02
Vic Willis,63.2,willivi01
Juan Marichal,62.9,maricju01
Home Run Baker,62.8,bakerfr01
Ken Boyer,62.8,boyerke01
Paul Goldschmidt,62.8,goldspa01
Hal Newhouser,62.8,newhoha01
Andruw Jones,62.7,jonesan01
David Cone,62.3,coneda01
CC Sabathia,62.3,sabatcc01
John Ward,62.3,wardjo03
Mickey Welch,62.3,welchmi01
Joe Jackson,62.2,jacksjo01
Dennis Eckersley,62.1,eckerde01
Mark McGwire,62.1,mcgwima01
Stan Coveleski,62.0,covelst01
