Rk,Year,Date,Tm,,Opp,Rslt,Name,Gcar,Gtm,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Name-additional
1,2024,Sep 4,CHC,,PIT,W12-0,Shota Imanaga*,26,140,GS-7,W,4,7.0,0,0,0,2,7,0,0,2.99,,25,95,66,11,19,8,8,2,2,0,82,0,0,0,23,0,0,0,1,0,3,.43,0.157,.09,0.02%,3.49,imanash01
,,,,,,,Nate Pearson,103,140,8-8,,4,1.0,0,0,0,0,0,0,0,4.63,,3,10,7,0,1,1,2,0,2,0,,0,0,0,3,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.50,pearsna01
,,,,,,,Porter Hodge,32,140,9-GF,,3,1.0,0,0,0,0,0,0,0,1.75,,3,9,8,3,2,3,0,0,0,0,,0,0,0,3,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.50,hodgepo01
2,2023,Jul 8,DET,,TOR,W2-0,Matt Manning,35,88,GS-7,W,5,6.2,0,0,0,3,5,0,1,3.72,,23,91,57,23,4,6,8,2,2,0,76,0,1,0,19,0,0,0,0,0,0,.99,0.376,.32,0.07%,3.41,mannima02
,,,,,,,Jason Foley,109,88,7-8,H,5,1.1,0,0,0,0,1,0,0,2.09,,4,15,12,2,2,1,2,2,0,0,,0,0,0,4,0,0,0,0,0,0,1.04,0.111,.33,0.02%,0.76,foleyja01
,,,,,,,Alex Lange,143,88,9-GF,S,6,1.0,0,0,0,0,1,0,0,3.79,,3,10,9,1,5,1,1,0,0,0,,0,0,0,3,0,0,0,0,0,0,.99,0.077,.32,0.02%,0.52,langeal01
3,2022,Nov 2,HOU,@,PHI,W5-0,Cristian Javier,,,GS-6,W,10,6.0,0,0,0,2,9,0,0,---,,20,97,63,14,9,3,6,0,3,0,79,2,0,0,18,0,0,0,0,0,0,.77,0.260,49.28,9.58%,2.93,javiecr01
,,,,,,,Bryan Abreu,,,7-7,,4,1.0,0,0,0,0,3,0,0,---,,3,15,10,1,7,0,0,0,0,0,,0,0,0,3,0,0,0,0,0,0,.25,0.019,15.98,0.77%,0.49,abreubr01
,,,,,,,Rafael Montero,,,8-8,,3,1.0,0,0,0,0,1,0,0,---,,3,10,7,1,2,0,2,1,0,0,,0,0,0,3,0,0,0,0,0,0,.18,0.014,11.72,0.56%,0.49,montera01
,,,,,,,Ryan Pressly,,,9-GF,,3,1.0,0,0,0,1,1,0,0,---,,4,19,11,4,2,1,1,0,0,0,,0,0,0,3,0,0,0,0,0,0,.15,0.007,9.43,0.30%,0.49,pressry01
4,2022,Jun 25,HOU,@,NYY,W3-0,Cristian Javier,62,71,GS-7,W,5,7.0,0,0,0,1,13,0,0,2.73,,23,115,71,15,19,3,6,0,2,0,89,0,0,0,22,0,0,0,0,0,1,.98,0.457,.94,0.26%,3.38,javiecr01
,,,,,,,Héctor Neris,439,71,8-8,H,1,1.0,0,0,0,2,0,0,0,3.73,,5,20,10,4,0,0,3,1,0,0,,0,0,0,3,0,0,0,0,0,0,2.88,0.086,2.77,0.05%,0.48,nerishe01
,,,,,,,Ryan Pressly,471,71,9-GF,S,1,1.0,0,0,0,0,2,0,0,4.05,,3,15,9,3,3,1,0,0,0,0,,0,0,0,3,0,0,0,0,0,0,.51,0.039,.49,0.02%,0.48,pressry01
5,2022,Apr 29,NYM,,PHI,W3-0,Tylor Megill,23,21,GS-5,W,4,5.0,0,0,0,3,5,0,0,1.93,,18,88,53,14,11,3,7,3,0,0,69,1,0,0,15,0,0,0,0,0,0,.97,0.274,1.25,0.21%,2.37,megilty01
