Rk,Name,Prfct,Gcar,Gtm,Year,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Name-additional
1,Blake Snell*,,202,111,2024,Aug 2,SFG,@,CIN,W3-0,SHO,W,5,9.0,0,0,0,3,11,0,0,4.29,,29,114,78,25,21,2,13,3,1,0,95,0,0,0,26,0,0,0,0,0,0,.81,0.524,.45,0.18%,4.73,snellbl01
2,Dylan Cease,,145,105,2024,Jul 25,SDP,@,WSN,W3-0,SHO,W,4,9.0,0,0,0,3,9,0,0,3.50,,28,114,71,15,16,12,4,1,0,0,93,0,1,0,25,0,0,0,1,0,0,.77,0.429,.89,0.30%,4.34,ceasedy01
3,Ronel Blanco,,25,5,2024,Apr 1,HOU,,TOR,W10-0,SHO,W,99,9.0,0,0,0,2,7,0,0,0.00,,29,105,73,14,17,12,8,1,4,0,92,0,0,0,27,0,0,0,0,0,0,.36,0.202,.26,0.09%,4.36,blancro01
4,Michael Lorenzen,,333,115,2023,Aug 9,PHI,,WSN,W7-0,SHO,W,5,9.0,0,0,0,4,5,0,0,3.23,,31,124,76,22,12,7,15,3,0,0,88,0,0,0,27,0,0,0,0,0,0,.37,0.197,.36,0.12%,4.67,lorenmi01
5,Framber Valdez*,,119,108,2023,Aug 1,HOU,,CLE,W2-0,SHO,W,5,9.0,0,0,0,1,7,0,0,3.07,,27,93,65,16,15,12,7,4,0,0,93,0,0,0,26,0,0,0,1,0,0,.89,0.561,1.62,0.61%,4.60,valdefr01
6,Domingo Germán,Y,107,80,2023,Jun 28,NYY,@,OAK,W11-0,SHO,W,5,9.0,0,0,0,0,9,0,0,4.54,,27,99,72,20,17,8,10,1,2,0,96,0,0,0,27,0,0,0,0,0,0,.35,0.236,.30,0.12%,4.23,germado01
7,Reid Detmers*,,11,32,2022,May 10,LAA,,TBR,W12-0,SHO,W,5,9.0,0,0,0,1,2,0,0,3.77,,28,108,68,17,8,11,14,4,2,0,88,0,0,0,27,0,0,0,1,0,1,.21,0.140,.26,0.11%,4.39,detmere01
8,Tyler Gilbert*,,4,118,2021,Aug 14,ARI,,SDP,W7-0,SHO,W,6,9.0,0,0,0,3,5,0,0,0.00,,28,102,64,14,9,7,13,5,1,0,89,0,0,0,25,0,0,0,1,0,0,.30,0.171,.00,0.00%,4.55,gilbety01
9,Corey Kluber,,218,43,2021,May 19,NYY,@,TEX,W2-0,SHO,W,4,9.0,0,0,0,1,9,0,0,2.86,,28,101,71,25,13,9,9,4,1,0,95,0,0,0,27,0,0,0,0,0,0,.94,0.632,1.08,0.44%,4.69,klubeco01
10,Spencer Turnbull,,51,42,2021,May 18,DET,@,SEA,W5-0,SHO,W,4,9.0,0,0,0,2,9,0,0,2.88,,29,117,77,18,17,12,6,3,1,0,94,1,0,0,27,0,0,0,0,0,0,.84,0.500,.28,0.10%,4.46,turnbsp01
11,Wade Miley*,,261,30,2021,May 7,CIN,@,CLE,W3-0,SHO,W,6,9.0,0,0,0,1,8,0,0,2.00,,29,114,72,23,8,15,5,3,1,0,94,0,0,0,28,0,0,0,0,0,1,1.00,0.603,.92,0.33%,4.69,mileywa01
12,John Means*,,49,31,2021,May 5,BAL,@,SEA,W6-0,SHO,W,4,9.0,0,0,0,0,12,0,0,1.37,,27,113,79,13,25,3,12,4,5,0,99,0,1,0,27,0,0,0,0,0,0,.65,0.421,.56,0.22%,4.46,meansjo01
13,Carlos Rodón*,,99,12,2021,Apr 14,CHW,,CLE,W8-0,SHO,W,8,9.0,0,0,0,0,7,0,1,0.00,,28,114,75,21,19,10,10,3,2,0,94,0,0,0,27,0,0,0,0,0,0,.16,0.115,.17,0.07%,4.78,rodonca01
14,Joe Musgrove,,110,8,2021,Apr 9,SDP,@,TEX,W3-0,SHO,W,5,9.0,0,0,0,0,10,0,1,0.00,,28,112,77,24,15,10,7,3,1,0,97,0,0,0,27,0,0,0,0,0,0,.68,0.471,.65,0.27%,4.69,musgrjo01
15,Alec Mills,,28,48,2020,Sep 13,CHC,@,MIL,W12-0,SHO,W,4,9.0,0,0,0,3,5,0,0,3.93,,29,114,74,26,5,10,11,5,4,0,89,0,0,0,26,0,0,0,1,0,0,.32,0.205,.16,0.06%,5.03,millsal02
16,Lucas Giolito,,81,30,2020,Aug 25,CHW,,PIT,W4-0,SHO,W,4,9.0,0,0,0,1,13,0,0,3.09,,28,101,74,18,28,6,8,2,3,0,99,0,0,0,27,0,0,0,0,0,0,.52,0.327,.56,0.21%,4.78,giolilu01
17,Justin Verlander,,448,138,2019,Sep 1,HOU,@,TOR,W2-0,SHO,W,4,9.0,0,0,0,1,14,0,0,2.56,,28,120,79,19,22,6,7,1,4,0,100,0,0,0,27,0,0,0,0,0,0,.99,0.666,.24,0.10%,4.82,verlaju01
18,Mike Fiers,,181,37,2019,May 7,OAK,,CIN,W2-0,SHO,W,5,9.0,0,0,0,2,6,0,0,5.48,,29,131,83,24,10,10,11,0,4,0,91,0,0,0,27,0,0,0,1,0,1,.98,0.622,.63,0.24%,4.67,fiersmi01
19,James Paxton*,,82,34,2018,May 8,SEA,@,TOR,W5-0,SHO,W,5,9.0,0,0,0,3,7,0,0,3.40,,29,99,64,14,13,10,9,3,3,0,91,0,0,0,26,0,0,0,1,0,0,.63,0.287,.72,0.20%,4.51,paxtoja01
20,Sean Manaea*,,59,21,2018,Apr 21,OAK,,BOS,W3-0,SHO,W,5,9.0,0,0,0,2,10,0,0,1.23,,30,108,75,19,14,9,9,2,5,0,95,0,0,0,28,0,0,0,0,0,1,.73,0.440,.57,0.21%,4.46,manaese01
21,Edinson Vólquez,,270,54,2017,Jun 3,MIA,,ARI,W3-0,SHO,W,4,9.0,0,0,0,2,10,0,0,3.79,,27,,,25,13,11,4,1,1,0,95,0,0,0,25,0,0,0,2,0,0,1.04,0.593,.43,0.15%,4.19,volqued01
22,Jake Arrieta,,140,16,2016,Apr 21,CHC,@,CIN,W16-0,SHO,W,4,9.0,0,0,0,4,6,0,0,0.87,,29,119,71,23,11,11,8,5,2,0,89,0,0,0,25,0,0,0,1,0,0,.32,0.185,.43,0.15%,4.50,arrieja01
23,Max Scherzer,,240,161,2015,Oct 3(2),WSN,@,NYM,W2-0,SHO,W,4,9.0,0,0,0,0,17,0,0,2.79,,28,109,80,20,22,6,5,2,2,0,104,0,0,0,28,0,0,0,0,0,1,1.01,0.587,.00,0.00%,4.05,scherma01
24,Jake Arrieta,,130,129,2015,Aug 30,CHC,@,LAD,W2-0,SHO,W,4,9.0,0,0,0,1,12,0,0,2.11,,29,116,80,18,19,8,8,4,1,0,98,0,0,0,27,0,0,0,0,0,1,.92,0.565,.63,0.23%,3.97,arrieja01
25,Mike Fiers,,75,123,2015,Aug 21,HOU,,LAD,W3-0,SHO,W,4,9.0,0,0,0,3,10,0,0,3.62,,30,134,88,23,13,8,9,1,5,0,94,0,0,0,27,0,0,0,0,0,0,.79,0.437,1.50,0.50%,4.25,fiersmi01
26,Hisashi Iwakuma,,102,115,2015,Aug 12,SEA,,BAL,W3-0,SHO,W,4,9.0,0,0,0,3,7,0,0,3.86,,29,116,77,14,19,11,8,3,1,0,91,0,0,0,26,0,0,0,1,0,0,.81,0.401,.25,0.07%,4.16,iwakuhi01
27,Cole Hamels*,,295,99,2015,Jul 25,PHI,@,CHC,W5-0,SHO,W,5,9.0,0,0,0,2,13,0,0,3.64,,29,129,83,24,26,6,8,4,0,0,98,2,0,0,27,0,0,0,0,0,0,.64,0.353,.00,0.00%,4.10,hamelco01
28,Max Scherzer,,221,69,2015,Jun 20,WSN,,PIT,W6-0,SHO,W,5,9.0,0,0,0,0,10,0,1,1.76,,28,106,82,14,13,4,13,3,3,0,97,0,0,0,27,0,0,0,0,0,0,.54,0.378,.76,0.32%,4.26,scherma01
29,Chris Heston,,15,59,2015,Jun 9,SFG,@,NYM,W5-0,SHO,W,6,9.0,0,0,0,0,11,0,3,3.77,,29,110,72,28,11,13,2,0,0,0,98,0,0,0,26,0,0,0,1,0,0,.56,0.320,.74,0.25%,4.05,hestoch01
30,Jordan Zimmermann,,145,162,2014,Sep 28,WSN,,MIA,W1-0,SHO,W,7,9.0,0,0,0,1,10,0,0,2.66,,28,104,79,14,17,5,12,6,4,0,96,0,0,0,27,0,0,0,0,0,0,1.10,0.717,.00,0.00%,4.14,zimmejo02
