yearID,teamID,playerID,date,type
2024,SFG,snellbl01,Aug 2,I
2024,SDP,ceasedy01,Jul 25,I
2024,HOU,blancro01,Apr 1,I
2023,PHI,lorenmi01,Aug 9,I
2023,HOU,valdefr01,Aug 1,I
2023,NYY,germado01,Jun 28,I
2022,LAA,detmere01,May 10,I
2021,ARI,gilbety01,Aug 14,I
2021,NYY,klubeco01,May 19,I
2021,DET,turnbsp01,May 18,I
2021,CIN,mileywa01,May 7,I
2021,BAL,meansjo01,May 5,I
2021,CHW,rodonca01,Apr 14,I
2021,SDP,musgrjo01,Apr 9,I
2020,CHC,millsal02,Sep 13,I
2020,CHW,giolilu01,Aug 25,I
2019,HOU,verlaju01,Sep 1,I
2019,OAK,fiersmi01,May 7,I
2018,SEA,paxtoja01,May 8,I
2018,OAK,manaese01,Apr 21,I
2017,MIA,volqued01,Jun 3,I
2016,CHC,arrieja01,Apr 21,I
2015,WSN,scherma01,Oct 3(2),I
2015,CHC,arrieja01,Aug 30,I
2015,HOU,fiersmi01,Aug 21,I
2015,SEA,iwakuhi01,Aug 12,I
2015,PHI,hamelco01,Jul 25,I
2015,WSN,scherma01,Jun 20,I
2015,SFG,hestoch01,Jun 9,I
2014,WSN,zimmejo02,Sep 28,I
2014,SFG,linceti01,Jun 25,I
2014,LAD,kershcl01,Jun 18,I
2014,LAD,beckejo02,May 25,I
2013,MIA,alvarhe01,Sep 29,I
2013,SFG,linceti01,Jul 13,I
2013,CIN,baileho02,Jul 2,I
2012,CIN,baileho02,Sep 28,I
2012,SEA,hernafe02,Aug 15,I
2012,SFG,cainma01,Jun 13,I
2012,NYM,santajo02,Jun 1,I
2012,LAA,weaveje02,May 2,I
2012,CHW,humbeph01,Apr 21,I
2011,LAA,santaer01,Jul 27,I
2011,DET,verlaju01,May 7,I
2011,MIN,liriafr01,May 3,I
2010,PHI,hallaro01,Oct 6,I
2010,TBR,garzama01,Jul 26,I
2010,ARI,jacksed01,Jun 25,I
2010,PHI,hallaro01,May 29,I
2010,OAK,bradeda01,May 9,I
2010,COL,jimenub01,Apr 17,I
2009,CHW,buehrma01,Jul 23,I
2009,SFG,sanchjo01,Jul 10,I
2008,CHC,zambrca01,Sep 14,I
2008,BOS,lestejo01,May 19,I
2007,BOS,buchhcl01,Sep 1,I
2007,DET,verlaju01,Jun 12,I
2007,CHW,buehrma01,Apr 18,I
2006,FLA,sanchan01,Sep 6,I
2004,ARI,johnsra05,May 18,I
2003,PHI,millwke01,Apr 27,I
2002,BOS,lowede01,Apr 27,I
2001,STL,smithbu02,Sep 3,I
2001,FLA,burneaj01,May 12,I
2001,BOS,nomohi01,Apr 4,I
1999,MIN,miltoer01,Sep 11,I
1999,NYY,coneda01,Jul 18,I
1999,STL,jimenjo01,Jun 25,I
1998,NYY,wellsda01,May 17,I
1997,FLA,brownke01,Jun 10,I
1996,LAD,nomohi01,Sep 17,I
1996,NYY,goodedw01,May 14,I
1996,FLA,leiteal01,May 11,I
1995,LAD,martira02,Jul 14,I
1994,TEX,rogerke01,Jul 28,I
1994,MIN,ericksc01,Apr 27,I
1994,ATL,merckke01,Apr 8,I
1993,HOU,kileda01,Sep 8,I
1993,NYY,abbotji01,Sep 4,I
1993,SEA,bosioch01,Apr 22,I
1992,LAD,grosske01,Aug 17,I
1991,KCR,saberbr01,Aug 26,I
1991,CHW,alvarwi01,Aug 11,I
1991,MON,martide01,Jul 28,I
1991,PHI,greento01,May 23,I
1991,TEX,ryanno01,May 1,I
1990,TOR,stiebda01,Sep 2,I
1990,PHI,mulhote01,Aug 15,I
1990,OAK,stewada01,Jun 29,I
1990,LAD,valenfe01,Jun 29,I
1990,TEX,ryanno01,Jun 11,I
1990,SEA,johnsra05,Jun 2,I
1988,CIN,brownto05,Sep 16,I
1987,MIL,nieveju01,Apr 15,I
1986,HOU,scottmi03,Sep 25,I
1986,CHW,cowlejo01,Sep 19,I
1984,CAL,wittmi01,Sep 30,I
1984,DET,morrija02,Apr 7,I
1983,OAK,warremi01,Sep 29,I
1983,STL,forscbo01,Sep 26,I
1983,NYY,righeda01,Jul 4,I
1981,HOU,ryanno01,Sep 26,I
1981,CLE,barkele01,May 15,I
1981,MON,leach01,May 10(2),I
1980,LAD,reussje01,Jun 27,I
1979,HOU,forscke01,Apr 7,I
1978,CIN,seaveto01,Jun 16,I
1978,STL,forscbo01,Apr 16,I
1977,TEX,blylebe01,Sep 22,I
1977,CLE,eckerde01,May 30,I
1977,KCR,colboji01,May 14,I
1976,SFG,montejo01,Sep 29,I
1976,PIT,candejo01,Aug 9,I
1976,HOU,dierkla01,Jul 9,I
1975,SFG,haliced01,Aug 24(2),I
1975,CAL,ryanno01,Jun 1,I
1974,CAL,ryanno01,Sep 28,I
1974,CLE,bosmadi01,Jul 19,I
1974,KCR,busbyst01,Jun 19,I
1973,ATL,niekrph01,Aug 5,I
1973,TEX,bibbyji01,Jul 30,I
1973,CAL,ryanno01,Jul 15,I
1973,CAL,ryanno01,May 15,I
1973,KCR,busbyst01,Apr 27,I
1972,MON,stonebi01,Oct 2(1),I
1972,CHC,pappami01,Sep 2,I
1972,CHC,hootobu01,Apr 16,I
1971,STL,gibsobo01,Aug 14,I
1971,PHI,wiseri01,Jun 23,I
1971,CHC,holtzke01,Jun 3,I
1970,OAK,bluevi01,Sep 21,I
1970,LAD,singebi01,Jul 20,I
1970,CAL,wrighcl01,Jul 3,I
1970,PIT,ellisdo01,Jun 12(1),I
1969,PIT,moosebo01,Sep 20,I
1969,CHC,holtzke01,Aug 19,I
1969,BAL,palmeji01,Aug 13,I
1969,HOU,wilsodo01,May 1,I
1969,CIN,malonji01,Apr 30,I
1969,MON,stonebi01,Apr 17,I
1968,STL,washbra01,Sep 18,I
1968,SFG,perryga01,Sep 17,I
1968,CIN,culvege01,Jul 29(2),I
1968,OAK,hunteca01,May 8,I
1968,BAL,phoebto01,Apr 27,I
1967,CHW,horlejo01,Sep 10(1),I
1967,MIN,chancde01,Aug 25(2),I
1967,HOU,wilsodo01,Jun 18,I
1966,CLE,siebeso01,Jun 10,I
1965,BOS,morehda01,Sep 16,I
1965,LAD,koufasa01,Sep 9,I
1965,CIN,malonji01,Aug 19(1),I
1964,PHI,bunniji01,Jun 21(1),I
1964,LAD,koufasa01,Jun 4,I
1964,HOU,johnske02,Apr 23,I
1963,SFG,maricju01,Jun 15,I
1963,HOU,nottedo01,May 17,I
1963,LAD,koufasa01,May 11,I
1962,MIN,kralija01,Aug 26,I
1962,BOS,monbobi01,Aug 1,I
1962,LAD,koufasa01,Jun 30,I
1962,BOS,wilsoea01,Jun 26,I
1962,LAA,belinbo01,May 5,I
1961,MLN,spahnwa01,Apr 28,I
1960,MLN,spahnwa01,Sep 16,I
1960,MLN,burdele01,Aug 18,I
1960,CHC,cardwdo01,May 15(2),I
1958,BAL,wilheho01,Sep 20,I
1958,DET,bunniji01,Jul 20(1),I
1957,CHW,keegabo01,Aug 20(2),I
1956,NYY,larsedo01,Oct 8,I
1956,BRO,maglisa01,Sep 25,I
1956,BOS,parneme01,Jul 14,I
1956,BRO,erskica01,May 12,I
1955,CHC,jonessa02,May 12,I
1954,MLN,wilsoji02,Jun 12,I
1953,SLB,hollobo01,May 6,I
1952,DET,truckvi01,Aug 25,I
1952,BRO,erskica01,Jun 19,I
1952,DET,truckvi01,May 15,I
1951,NYY,reynoal01,Sep 28(1),I
1951,NYY,reynoal01,Jul 12,I
1951,CLE,fellebo01,Jul 1(1),I
1951,PIT,chambcl01,May 6(2),I
1950,BSN,bickfve01,Aug 11,I
1948,BRO,barnere02,Sep 9,I
1948,CLE,lemonbo01,Jun 30,I
1947,PHA,mccahbi01,Sep 3,I
1947,CLE,blackdo01,Jul 10(1),I
1947,CIN,blackew01,Jun 18,I
1946,CLE,fellebo01,Apr 30,I
1946,BRO,headed01,Apr 23,I
1945,PHA,fowledi01,Sep 9(2),I
1944,CIN,shouncl01,May 15,I
1944,BSN,tobinji01,Apr 27,I
1941,STL,warnelo01,Aug 30,I
1940,BRO,carlete01,Apr 30,I
1940,CLE,fellebo01,Apr 16,I
1938,NYY,pearsmo01,Aug 27(2),I
1938,CIN,vandejo01,Jun 15,I
1938,CIN,vandejo01,Jun 11,I
1937,CHW,dietrbi01,Jun 1,I
1935,CHW,kenneve01,Aug 31,I
1934,STL,deanpa01,Sep 21(2),I
1931,WSH,burkebo01,Aug 8,I
1931,CLE,ferrewe01,Apr 29,I
1929,NYG,hubbeca01,May 8,I
1926,CHW,lyonste01,Aug 21,I
1925,BRO,vanceda01,Sep 13(1),I
1924,STL,haineje01,Jul 17,I
1923,BOS,ehmkeho01,Sep 7,I
1923,NYY,jonessa01,Sep 4,I
1922,NYG,barneje01,May 7,I
1922,CHW,roberch01,Apr 30,I
1920,WSH,johnswa01,Jul 1,I
1919,CLE,caldwra02,Sep 10(1),I
1919,CIN,ellerho01,May 11,I
1918,BOS,leonadu01,Jun 3,I
1917,SLB,groombo01,May 6(2),I
1917,SLB,koober01,May 5,I
1917,CIN,toneyfr01,May 2,I
1917,NYY,mogrige01,Apr 24,I
1917,CHW,cicoted01,Apr 14,I
1916,BOS,leonadu01,Aug 30,I
1916,PHA,bushjo01,Aug 26,I
1916,BOS,fosteru01,Jun 21,I
1916,BSN,hugheto02,Jun 16,I
1915,SLM,davenda01,Sep 7(1),I
1915,CHC,lavenji01,Aug 31(1),I
1915,KCP,mainal01,Aug 16,I
1915,CHI,hendrcl01,May 15,I
1915,PBS,allenfr01,Apr 24,I
1915,NYG,marquru01,Apr 15,I
1914,BTT,lafited01,Sep 19(1),I
1914,BSN,davisge02,Sep 9(2),I
1914,CHW,benzjo01,May 31,I
1912,NYG,tesreje01,Sep 6(1),I
1912,SLB,hamilea01,Aug 30,I
1912,DET,mullige01,Jul 4(2),I
1911,CHW,walshed01,Aug 27,I
1911,BOS,woodjo02,Jul 29(1),I
1910,PHA,bendech01,May 12,I
1910,CLE,jossad01,Apr 20,I
1908,CLE,jossad01,Oct 2,I
1908,CHW,smithfr03,Sep 20,I
1908,CLE,rhoadbo01,Sep 18,I
1908,BRO,ruckena01,Sep 5(2),I
1908,NYG,wiltsho01,Jul 4(1),I
1908,BOS,youngcy01,Jun 30,I
1907,PIT,maddoni01,Sep 20,I
1907,BSN,pfeffbi01,May 8,I
1906,BRO,easonma01,Jul 20,I
1906,PHI,lushjo01,May 1,I
1905,BOS,dinnebi01,Sep 27(1),I
1905,CHW,smithfr03,Sep 6(2),I
1905,PHA,henlewe01,Jul 22(1),I
1905,NYG,mathech01,Jun 13,I
1904,BOS,tanneje01,Aug 17,I
1904,BOS,youngcy01,May 5,I
1903,PHI,frasech01,Sep 18(2),I
1902,CHW,callani01,Sep 20(1),I
1901,NYG,mathech01,Jul 15,I
1901,CLE,dowlipe01,Jun 30,I
1900,CIN,hahnno01,Jul 12,I
1899,BSN,willivi01,Aug 7,I
1899,LOU,phillde01,May 25,I
1898,CHC,thornwa01,Aug 21,I
1898,PHI,donahre01,Jul 8,I
1898,CIN,breitte01,Apr 22,I
1898,BLN,hugheja01,Apr 22,I
1897,CLV,youngcy01,Sep 18,I
1893,BLN,hawkebi01,Aug 16,I
1892,CIN,jonesbu01,Oct 15,I
1892,LOU,sandebe01,Aug 22,I
1892,BSN,stiveja01,Aug 6,I
1891,STL,breitte01,Oct 4,I
1891,NYG,rusieam01,Jul 31,I
1891,BRO,lovetto01,Jun 22,I
1890,ROC,titcoca01,Sep 15,I
1888,PHA,weyhigu01,Jul 31,I
1888,PHA,sewared01,Jul 26,I
1888,KCC,portehe01,Jun 6,I
1888,BRO,terryad01,May 27,I
1886,BAL,kilroma01,Oct 6,I
1886,BRO,terryad01,Jul 24,I
1886,PHA,atkinal01,May 1,I
1885,PHI,ferguch01,Aug 29,I
1885,CHC,clarkjo01,Jul 27,I
1884,BRO,kimbesa01,Oct 4,I
1884,MIL,cushmed01,Sep 28,I
1884,COR,burnsdi01,Aug 26,I
1884,BUF,galvipu01,Aug 4,I
1884,CHC,corcola01,Jun 27,I
1884,COL,mountfr01,Jun 5,I
1884,COL,morried01,May 29,I
1884,PHA,atkinal01,May 24,I
1883,CLV,dailyhu01,Sep 13,I
1883,PRO,radboch01,Jul 25,I
1882,CHC,corcola01,Sep 20,I
1882,LOU,heckegu01,Sep 19,I
1882,LOU,mullato01,Sep 11,I
1880,BUF,galvipu01,Aug 20,I
1880,CHC,corcola01,Aug 19,I
1880,PRO,wardjo01,Jun 17,I
1880,WOR,richmle01,Jun 12,I
1876,STL,bradlge01,Jul 15,I
1875,PHI,bordejo01,Jul 28,I
2024,CHC,imanash01,Sep 4,C
2024,CHC,pearsna01,Sep 4,C
2024,CHC,hodgepo01,Sep 4,C
2023,DET,mannima02,Jul 8,C
2023,DET,foleyja01,Jul 8,C
2023,DET,langeal01,Jul 8,C
2022,HOU,javiecr01,Nov 2,C
2022,HOU,abreubr01,Nov 2,C
2022,HOU,montera01,Nov 2,C
2022,HOU,pressry01,Nov 2,C
2022,HOU,javiecr01,Jun 25,C
2022,HOU,nerishe01,Jun 25,C
2022,HOU,pressry01,Jun 25,C
2022,NYM,megilty01,Apr 29,C
2022,NYM,smithdr01,Apr 29,C
2022,NYM,rodrijo06,Apr 29,C
2022,NYM,lugose01,Apr 29,C
2022,NYM,diazed04,Apr 29,C
2021,MIL,burneco01,Sep 11,C
2021,MIL,haderjo01,Sep 11,C
2021,CHC,davieza02,Jun 24,C
2021,CHC,teperry01,Jun 24,C
2021,CHC,chafian01,Jun 24,C
2021,CHC,kimbrcr01,Jun 24,C
2019,HOU,sanchaa01,Aug 3,C
2019,HOU,harriwi10,Aug 3,C
2019,HOU,biagijo01,Aug 3,C
2019,HOU,devench02,Aug 3,C
2019,LAA,coleta01,Jul 12,C
2019,LAA,penafe01,Jul 12,C
2018,LAD,buehlwa01,May 4,C
2018,LAD,cingrto01,May 4,C
2018,LAD,garciyi01,May 4,C
2018,LAD,liberad01,May 4,C
2014,PHI,hamelco01,Sep 1,C
2014,PHI,diekmja01,Sep 1,C
2014,PHI,gileske01,Sep 1,C
2014,PHI,papeljo01,Sep 1,C
2012,SEA,millwke01,Jun 8,C
2012,SEA,pryorst01,Jun 8,C
2012,SEA,furbuch01,Jun 8,C
2012,SEA,luetglu01,Jun 8,C
2012,SEA,leagubr01,Jun 8,C
2012,SEA,wilheto01,Jun 8,C
2003,HOU,oswalro01,Jun 11,C
2003,HOU,munrope01,Jun 11,C
2003,HOU,saarlki01,Jun 11,C
2003,HOU,lidgebr01,Jun 11,C
2003,HOU,doteloc01,Jun 11,C
2003,HOU,wagnebi02,Jun 11,C
1997,PIT,cordofr01,Jul 12,C
1997,PIT,rincori01,Jul 12,C
1991,ATL,merckke01,Sep 11,C
1991,ATL,wohlema01,Sep 11,C
1991,ATL,penaal01,Sep 11,C
1991,BAL,milacbo01,Jul 13,C
1991,BAL,flanami01,Jul 13,C
1991,BAL,willima05,Jul 13,C
1991,BAL,olsongr01,Jul 13,C
1990,CAL,langsma01,Apr 11,C
1990,CAL,wittmi01,Apr 11,C
1976,CHW,odombl01,Jul 28,C
1976,CHW,barrifr01,Jul 28,C
1975,OAK,bluevi01,Sep 28,C
1975,OAK,abbotgl01,Sep 28,C
1975,OAK,lindbpa01,Sep 28,C
1975,OAK,fingero01,Sep 28,C
1967,BAL,barbest01,Apr 30(1),C
1967,BAL,millest01,Apr 30(1),C
1917,BOS,ruthba01,Jun 23(1),C
1917,BOS,shoreer01,Jun 23(1),C
