Player Name,WAR,playerID,Year
Ronald Acuna,8.2,acunaro01,2023
Mookie Betts,8.3,bettsmo01,2023
Matt Olson,7.4,olsonma02,2023
Marcus Semien,7.4,semiema01,2023
Nolan Arenado,7.7,arenano01,2022
Andres Gimenez,7.4,gimenan01,2022
Paul Goldschmidt,7.7,goldspa01,2022
Aaron Judge,10.5,judgeaa01,2022
Nolan Arenado,7.3,arenano01,2019
Cody Bellinger,8.6,bellico01,2019
Mookie Betts,7.3,bettsmo01,2019
Alex Bregman,8.9,bregmal01,2019
Matt Chapman,7.8,chapmma01,2019
Marcus Semien,8.5,semiema01,2019
Mike Trout,7.9,troutmi01,2019
Mookie Betts,10.7,bettsmo01,2018
Alex Bregman,7.9,bregmal01,2018
Matt Chapman,7.6,chapmma01,2018
Jose Ramirez,7.5,ramirjo02,2018
Mike Trout,9.9,troutmi01,2018
Christian Yelich,7.3,yelicch01,2018
Jose Altuve,7.7,altuvjo01,2017
Aaron Judge,8,judgeaa01,2017
Andrelton Simmons,7.9,simmoan01,2017
Giancarlo Stanton,7.9,stantmi03,2017
Joey Votto,8.1,vottojo01,2017
Jose Altuve,7.9,altuvjo01,2016
Mookie Betts,9.5,bettsmo01,2016
Kris Bryant,7.3,bryankr01,2016
Robinson Cano,7.3,canoro01,2016
Manny Machado,7.3,machama01,2016
Mike Trout,10.5,troutmi01,2016
Paul Goldschmidt,8.3,goldspa01,2015
Bryce Harper,9.7,harpebr03,2015
Manny Machado,7.5,machama01,2015
Mike Trout,9.6,troutmi01,2015
Joey Votto,7.8,vottojo01,2015
Mike Trout,7.7,troutmi01,2014
Miguel Cabrera,7.5,cabremi01,2013
Carlos Gomez,7.6,gomezca01,2013
Andrew McCutchen,7.8,mccutan01,2013
Mike Trout,8.9,troutmi01,2013
Robinson Cano,8.4,canoro01,2012
Buster Posey,7.6,poseybu01,2012
Mike Trout,10.5,troutmi01,2012
Jose Bautista,8.3,bautijo02,2011
Ryan Braun,7.7,braunry02,2011
Miguel Cabrera,7.6,cabremi01,2011
Jacoby Ellsbury,8.3,ellsbja01,2011
Alex Gordon,7.3,gordoal01,2011
Matt Kemp,8,kempma01,2011
Dustin Pedroia,8,pedrodu01,2011
Ben Zobrist,7.6,zobribe01,2011
Adrian Beltre,7.8,beltrad01,2010
Robinson Cano,8.1,canoro01,2010
Brett Gardner,7.4,gardnbr01,2010
Josh Hamilton,8.7,hamiljo03,2010
Evan Longoria,8.2,longoev01,2010
Albert Pujols,7.5,pujolal01,2010
Chone Figgins,7.7,figgich01,2009
Joe Mauer,7.8,mauerjo01,2009
Albert Pujols,9.7,pujolal01,2009
Hanley Ramirez,7.3,ramirha01,2009
Chase Utley,8.2,utleych01,2009
Ryan Zimmerman,7.3,zimmery01,2009
Ben Zobrist,8.6,zobribe01,2009
Chipper Jones,7.3,jonesch06,2008
Nick Markakis,7.4,markani01,2008
Albert Pujols,9.2,pujolal01,2008
Mark Teixeira,7.8,teixema01,2008
Chase Utley,9,utleych01,2008
Curtis Granderson,7.6,grandcu01,2007
Chipper Jones,7.6,jonesch06,2007
Magglio Ordonez,7.3,ordonma01,2007
Albert Pujols,8.7,pujolal01,2007
Alex Rodriguez,9.4,rodrial01,2007
Chase Utley,7.8,utleych01,2007
David Wright,8.3,wrighda03,2007
Carlos Beltran,8.2,beltrca01,2006
Albert Pujols,8.5,pujolal01,2006
Chase Utley,7.3,utleych01,2006
Derrek Lee,7.7,leede02,2005
Albert Pujols,8.4,pujolal01,2005
Brian Roberts,7.3,roberbr01,2005
Alex Rodriguez,9.4,rodrial01,2005
Chase Utley,7.3,utleych01,2005
Adrian Beltre,9.6,beltrad01,2004
Barry Bonds,10.6,bondsba01,2004
J.D. Drew,8.3,drewjd01,2004
Todd Helton,8.3,heltoto01,2004
Albert Pujols,8.5,pujolal01,2004
Alex Rodriguez,7.6,rodrial01,2004
Scott Rolen,9.2,rolensc01,2004
Ichiro Suzuki,9.2,suzukic01,2004
Miguel Tejada,7.4,tejadmi01,2004
Barry Bonds,9.2,bondsba01,2003
Marcus Giles,7.9,gilesma01,2003
Albert Pujols,8.7,pujolal01,2003
Alex Rodriguez,8.4,rodrial01,2003
Barry Bonds,11.8,bondsba01,2002
Alex Rodriguez,8.8,rodrial01,2002
