
Rank	Player (yrs, age)	Wins Above Replacement	PA	IP	Bats/Throws
1.	Babe Ruth+ (22)	182.6	10628	1221.1	L
2.	Walter Johnson+ (21)	166.9	2534	5914.1	R
3.	Cy Young+ (22)	163.6	3104	7356.0	R
4.	Barry Bonds (22)	162.8	12606		L
5.	Willie Mays+ (23)	156.2	12545		R
6.	Ty Cobb+ (24)	151.5	13103	5.0	L
7.	Henry Aaron+ (23)	143.1	13941		R
8.	Roger Clemens (24)	139.2	213	4916.2	R
9.	Tris Speaker+ (22)	134.9	12020	1.0	L
10.	Honus Wagner+ (21)	131.0	11766	8.1	R
11.	Stan Musial+ (22)	128.5	12721	0.0	L
12.	Rogers Hornsby+ (23)	127.0	9481		R
13.	Eddie Collins+ (25)	124.3	12087		L
14.	Ted Williams+ (19)	121.8	9792	2.0	L
15.	Grover Alexander+ (20)	119.6	1981	5190.0	R
16.	Alex Rodriguez (22)	117.6	12207		R
17.	Kid Nichols+ (15)	116.3	2264	5067.1	B
18.	Lou Gehrig+ (17)	113.7	9665		L
19.	Rickey Henderson+ (25)	111.1	13346		R
20.	Mel Ott+ (22)	110.9	11347		L
21.	Mickey Mantle+ (18)	110.2	9910		B
22.	Tom Seaver+ (20)	109.9	1552	4783.0	R
23.	Frank Robinson+ (21)	107.2	11744		R
24.	Nap Lajoie+ (21)	106.9	10471		R
 	Mike Schmidt+ (18)	106.9	10062		R
26.	Lefty Grove+ (17)	106.8	1580	3940.2	L
27.	Christy Mathewson+ (17)	106.7	1900	4788.2	R
28.	Greg Maddux+ (23)	106.6	1812	5008.1	R
29.	Albert Pujols (22)	101.4	13041	1.0	R
30.	Randy Johnson+ (22)	101.1	691	4135.1	R
31.	Joe Morgan+ (22)	100.6	11329		L
32.	Warren Spahn+ (21)	100.1	2056	5243.2	L
33.	Carl Yastrzemski+ (23)	96.5	13992		L
34.	Eddie Mathews+ (17)	95.9	10101		L
 	Phil Niekro+ (24)	95.9	1707	5404.0	R
 	Cal Ripken Jr.+ (21)	95.9	12883		R
37.	Roberto Clemente+ (18)	94.9	10212		R
38.	Bert Blyleven+ (22)	94.5	514	4970.0	R
39.	Cap Anson+ (27)	94.3	11331	4.0	R
40.	Adrian Beltré+ (21)	93.5	12130		R
41.	Jimmie Foxx+ (20)	93.0	9677	23.2	R
42.	Al Kaline+ (22)	92.8	11597		R
43.	Wade Boggs+ (18)	91.4	10740	2.1	L
44.	Eddie Plank+ (17)	90.9	1783	4495.2	L
45.	Steve Carlton+ (24)	90.2	1881	5217.2	L
46.	Gaylord Perry+ (22)	90.0	1220	5350.0	R
47.	Bob Gibson+ (17)	89.2	1489	3884.1	R
48.	George Brett+ (21)	88.6	11625		L
49.	Tim Keefe+ (14)	86.9	2262	5049.2	R
50.	Mike Trout (14, 32)	86.2	6647		R
51.	Robin Roberts+ (19)	86.1	1784	4688.2	B
52.	Chipper Jones+ (19)	85.3	10614		B
53.	Charlie Gehringer+ (19)	84.7	10245		L
54.	George Davis+ (20)	84.5	10188	4.0	B
55.	Roger Connor+ (18)	84.3	8847		B
56.	Fergie Jenkins+ (19)	84.2	1010	4500.2	R
57.	Pedro Martinez+ (18)	83.9	518	2827.1	R
58.	Ken Griffey Jr.+ (22)	83.8	11304		L
59.	John Clarkson+ (12)	83.2	2060	4536.1	R
60.	Mike Mussina+ (18)	82.8	54	3562.2	L
61.	Nolan Ryan+ (27)	81.3	957	5386.0	R
62.	Rod Carew+ (19)	81.2	10550		L
63.	Tom Glavine+ (22)	80.7	1645	4413.1	L
64.	Justin Verlander (19, 41)	80.5	60	3415.2	R
65.	Jeff Bagwell+ (15)	79.9	9431		R
66.	Pete Rose (24)	79.5	15890		B
 	Curt Schilling (20)	79.5	901	3261.0	R
68.	Clayton Kershaw (17, 36)	79.4	847	2742.2	L
69.	Joe DiMaggio+ (13)	79.1	7672		R
70.	Dan Brouthers+ (19)	78.7	7691	23.0	L
71.	Brooks Robinson+ (23)	78.5	11782		R
72.	Arky Vaughan+ (14)	77.9	7723		L
73.	Zack Greinke (20)	77.5	600	3389.1	R
74.	Luke Appling+ (20)	77.4	10254		R
 	Robin Yount+ (20)	77.4	12249		R
76.	Ozzie Smith+ (19)	76.9	10778		B
77.	Bobby Wallace+ (25)	76.4	9631	402.0	R
78.	Jim McCormick (10)	76.2	2104	4275.2	R
79.	Paul Molitor+ (21)	75.6	12167		R
80.	Sam Crawford+ (19)	75.4	10627		L
 	Old Hoss Radbourn+ (12)	75.4	2654	4527.1	R
 	Max Scherzer (17, 39)	75.4	529	2878.0	R
83.	Bill Dahlen (21)	75.3	10438		R
84.	Johnny Bench+ (17)	75.1	8674		R
 	Lou Whitaker (19)	75.1	9967		L
86.	Paul Waner+ (20)	74.8	10767		L
87.	Reggie Jackson+ (21)	74.0	11418		L
88.	Frank Thomas+ (19)	73.8	10075		R
89.	Pud Galvin+ (15)	73.4	2788	6003.1	R
90.	Jim Thome+ (22)	73.1	10313		L
91.	Larry Walker+ (17)	72.7	8030		L
92.	Harry Heilmann+ (17)	72.2	8972		R
93.	Rafael Palmeiro (20)	71.9	12046		L
94.	Frankie Frisch+ (19)	71.8	10101		B
95.	Derek Jeter+ (20)	71.3	12602		R
96.	Bobby Grich (17)	71.1	8220		R
97.	Ted Lyons+ (21)	70.6	1729	4161.0	B
 	Johnny Mize+ (15)	70.6	7372		L
 	Alan Trammell+ (20)	70.6	9376		R
100.	Barry Larkin+ (19)	70.5	9057		R
 	Ron Santo+ (15)	70.5	9397		R
102.	Gary Carter+ (19)	70.2	9019		R
103.	Carlos Beltrán (20)	70.1	11031		B
 	Scott Rolen+ (17)	70.1	8518		R
105.	Mookie Betts (11, 31)	69.6	6273		R
 	Ed Delahanty+ (16)	69.6	8402		R
107.	Rick Reuschel (19)	69.5	1304	3548.1	R
108.	Tim Raines+ (23)	69.4	10359		B
109.	Manny Ramirez (19)	69.3	9774		R
110.	Tony Gwynn+ (20)	69.2	10232		L
111.	John Smoltz+ (21)	69.0	1167	3473.0	R
112.	Eddie Murray+ (21)	68.7	12817		B
 	Iván Rodríguez+ (21)	68.7	10270		R
114.	Red Ruffing+ (22)	68.6	2084	4344.0	R
115.	Carlton Fisk+ (24)	68.5	9853		R
 	Carl Hubbell+ (16)	68.5	1397	3590.1	R
 	Jim Palmer+ (19)	68.5	537	3948.0	R
118.	Kenny Lofton (17)	68.4	9235		L
 	Edgar Martínez+ (18)	68.4	8674		R
 	Pee Wee Reese+ (16)	68.4	9472		R
121.	Al Simmons+ (20)	68.3	9520		R
122.	Robinson Canó (17)	68.1	9550		L
123.	Fred Clarke+ (21)	68.0	9863		L
124.	Graig Nettles (22)	67.9	10228		L
 	Ryne Sandberg+ (16)	67.9	9282		R
126.	Kevin Brown (19)	67.8	575	3256.1	R
127.	Ernie Banks+ (19)	67.7	10396		R
128.	Dwight Evans (20)	67.2	10569		R
129.	Miguel Cabrera (21)	67.1	11796		R
 	Don Drysdale+ (14)	67.1	1309	3432.0	R
131.	Roberto Alomar+ (17)	67.0	10400		B
132.	Don Sutton+ (23)	66.7	1559	5282.1	R
133.	Tony Mullane (13)	66.6	2971	4531.1	B
134.	Ed Walsh+ (14)	66.5	1173	2964.1	R
135.	Buddy Bell (18)	66.4	10009		R
136.	Luis Tiant (19)	66.1	570	3486.1	R
137.	Goose Goslin+ (18)	66.0	9831		L
138.	Willie Randolph (18)	65.9	9462		R
 	Duke Snider+ (18)	65.9	8237		L
140.	Amos Rusie+ (10)	65.8	1765	3778.2	R
141.	Craig Biggio+ (20)	65.5	12504		R
142.	Andre Dawson+ (21)	64.9	10769		R
143.	Joe Cronin+ (20)	64.7	8840		R
144.	Reggie Smith (17)	64.5	8051		B
 	Chase Utley (16)	64.5	7863		L
 	Joey Votto (17)	64.5	8746		L
147.	Willie McCovey+ (22)	64.4	9692		L
148.	Richie Ashburn+ (15)	64.2	9737		L
 	Roy Halladay+ (16)	64.2	305	2749.1	R
 	Dave Winfield+ (22)	64.2	12358		R
151.	Jackie Robinson+ (11)	63.9	5941		R
152.	Red Faber+ (20)	63.8	1559	4086.2	B
 	Clark Griffith+ (21)	63.8	1590	3385.2	R
154.	Billy Williams+ (18)	63.6	10519		L
155.	Bob Feller+ (18)	63.4	1486	3827.0	R
156.	Lou Boudreau+ (15)	63.2	7025		R
 	Billy Hamilton+ (14)	63.2	7609		L
 	Vic Willis+ (13)	63.2	1632	3996.0	R
159.	Juan Marichal+ (16)	62.9	1343	3507.0	R
160.	Home Run Baker+ (13)	62.8	6677		L
 	Ken Boyer (15)	62.8	8274		R
 	Paul Goldschmidt (14, 36)	62.8	8292		R
 	Hal Newhouser+ (17)	62.8	1160	2993.0	L
164.	Andruw Jones (17)	62.7	8664		R
165.	David Cone (17)	62.3	470	2898.2	L
 	CC Sabathia (19)	62.3	127	3577.1	L
 	John Ward+ (17)	62.3	8114	2469.2	L
 	Mickey Welch+ (13)	62.3	2286	4802.0	R
169.	Joe Jackson (13)	62.2	5697		L
170.	Dennis Eckersley+ (24)	62.1	196	3285.2	R
 	Mark McGwire (16)	62.1	7660		R
172.	Stan Coveleski+ (14)	62.0	1196	3082.0	R
173.	Todd Helton+ (17)	61.8	9453		L
174.	Jack Glasscock (17)	61.6	7552	7.0	R
 	Tommy John (26)	61.6	1030	4710.1	R
176.	Sal Bando (16)	61.5	8289	3.0	R
177.	Bullet Rogan+ (13)	61.3	2345	1500.0	R
178.	Jake Beckley+ (20)	61.2	10518	4.0	L
179.	Early Wynn+ (23)	61.0	1904	4564.0	B
180.	Tommy Bond (10)	60.9	1997	3628.2	R
181.	Charlie Buffinton (11)	60.7	2309	3404.0	R
 	Willie Davis (18)	60.7	9822		L
 	Freddie Freeman (15, 34)	60.7	8736		L
184.	Gary Sheffield (22)	60.5	10947		R
185.	Jim Edmonds (17)	60.4	7980		L
 	Zack Wheat+ (19)	60.4	10007		L
187.	Keith Hernandez (17)	60.3	8553		L
 	Harmon Killebrew+ (22)	60.3	9833		R
 	Dazzy Vance+ (16)	60.3	1114	2966.2	R
190.	Bobby Abreu (18)	60.2	10081		L
 	Andy Pettitte (18)	60.2	237	3316.0	L
 	Al Spalding+ (8)	60.2	1988	2886.1	R
193.	Wes Ferrell (15)	60.1	1345	2623.0	R
194.	Ichiro Suzuki (19)	60.0	10734	1.0	L
195.	Jesse Burkett+ (16)	59.7	9629	123.0	L
196.	Yogi Berra+ (19)	59.5	8364		L
 	Jim Bunning+ (17)	59.5	1401	3760.1	R
 	Bob Caruthers (10)	59.5	2906	2828.2	L
 	Vladimir Guerrero+ (16)	59.5	9059		R
 	Mike Piazza+ (16)	59.5	7745		R

201.	Sherry Magee (16)	59.4	8560		R
202.	Mark Buehrle (16)	59.1	140	3283.1	L
 	Eddie Cicotte (14)	59.1	1232	3226.0	B
204.	Cole Hamels (15)	59.0	778	2698.0	L
 	Joe McGinnity+ (10)	59.0	1424	3441.1	R
 	Urban Shocker (13)	59.0	1050	2681.2	R
207.	Bret Saberhagen (16)	58.9	227	2562.2	R
208.	Dick Allen (15)	58.7	7315		R
 	Darrell Evans (21)	58.7	10737		L
 	Jack Quinn (23)	58.7	1513	3920.1	R
211.	Evan Longoria (16)	58.6	8206		R
 	Sammy Sosa (18)	58.6	9896		R
213.	Rube Waddell+ (13)	58.4	1139	2961.1	R
214.	Mordecai Brown+ (14)	58.2	1244	3172.1	B
 	John Olerud (17)	58.2	9063		L
216.	Chuck Finley (17)	57.9	59	3197.1	L
 	Tim Hudson (17)	57.9	710	3126.2	R
218.	Bobby Bonds (14)	57.8	8090		R
 	Manny Machado (13, 31)	57.8	7517		R
220.	Enos Slaughter+ (19)	57.6	9087		L
 	Willie Stargell+ (21)	57.6	9027		L
 	Joe Torre+ (18)	57.6	8802		R
223.	Billy Herman+ (15)	57.4	8641		R
224.	George Sisler+ (15)	57.2	9018	111.0	L
225.	Whitey Ford+ (16)	57.1	1208	3170.1	L
 	Frank Tanana (21)	57.1	64	4188.1	L
227.	Larry Doby+ (17)	56.8	6920		L
228.	Nolan Arenado (12, 33)	56.7	7078		R
229.	Bill Terry+ (14)	56.6	7111		L
230.	Will Clark (15)	56.5	8283		L
231.	Bill Dickey+ (17)	56.4	7065		L
 	Dave Stieb (16)	56.4	2	2895.1	R
233.	Johnny Damon (18)	56.3	10917		L
 	Mariano Rivera+ (19)	56.3	4	1283.2	R
235.	Robin Ventura (16)	56.1	8271	1.0	L
236.	Orel Hershiser (18)	56.0	949	3130.1	R
 	Jim Whitney (10)	56.0	2306	3496.1	R
238.	Luis Aparicio+ (18)	55.9	11231		R
 	Eppa Rixey+ (21)	55.9	1667	4494.2	R
240.	Jim Wynn (15)	55.8	8011		R
241.	Chet Lemon (16)	55.7	7874		R
242.	Max Carey+ (20)	55.6	10772		B
